id;modelo_name;marca_name;precio;tipo;hibrido;reservado
1;user-centric Cambridgeshire Hogar;multitarea Monte;15573;GASOLINA;true;false
2;asimétrica e-services indexing;vía;39477;DIESEL;true;false
3;Sopa;evolve leading-edge morph;66515;GASOLINA;false;false
4;THX sensor intangible;Sincronizado brand Acero;51626;GASOLINA;true;false
5;Morado Credit;revolutionary application Savings;65055;DIESEL;false;false
6;Algodón Representante Cambridgeshire;navigating programming;95627;DIESEL;false;false
7;Berkshire Fiji sensor;Implementación Multi Personal;52685;DIESEL;false;true
8;EXE relationships;programming multitarea partnerships;91110;GASOLINA;true;true
9;quantify Bedfordshire aprovechar;Albania optical;66617;DIESEL;true;false
10;abierta collaborative;Desarrollador Algodón Card;34823;GASOLINA;true;false
